58.247.120.134[Info] pid[3073][05-21 16:37:15 0.06091600]	RedisCommands Args:["get","ApiLimit:weixin:wxfwhLogin:58.247.120.134"]
58.247.120.134[Info] pid[3073][05-21 16:37:15 0.06145300]	RedisCommands Result:false
58.247.120.134[Info] pid[3073][05-21 16:37:15 0.06153700]	RedisCommands Args:["setex","ApiLimit:weixin:wxfwhLogin:58.247.120.134",1,1]
58.247.120.134[Info] pid[3073][05-21 16:37:15 0.06175100]	RedisCommands Result:1
58.247.120.134[Info] pid[3073][05-21 16:37:15 0.27635400]	Mysql Execute Query:["select id, nickname, token, state, mobile, email, avatar, level, point, updateVersion, openId, unionId from members where openId = ?",["oXUAFtwt_ZbxKSadUcQxeVDT4M48"],true]
58.247.120.134[Info] pid[3073][05-21 16:37:15 0.28014900]	Mysql Execute Result:false
58.247.120.134[Info] pid[3073][05-21 16:37:15 0.28032400]	Mysql Execute Query:["insert members set state = ? ,token = ? ,nickname = ? ,password = ? ,avatar = ? ,mobile = ? ,email = ? ,level = ? ,point = ? ,pushClientId = ? ,deviceToken = ? ,openId = ? ,unionId = ?",["正常","","🤑🙄🤥🤔🤗😶😯🤑","","http:\/\/thirdwx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTLALXb4ceugZ45BwkaLQWb7o6ub2Giah8nicOYKbdJ9AUsU28w4uP7L7eiaBonicVKu4NpLWLwhibF2fGg\/132","","",1,0,"","","oXUAFtwt_ZbxKSadUcQxeVDT4M48",""],false]
58.247.120.134[Info] pid[3073][05-21 16:37:15 0.28131800]	Mysql Execute Error:SQLSTATE[HY000]: General error: 1366 Incorrect string value: '\xF0\x9F\xA4\x91\xF0\x9F...' for column 'nickname' at row 1
58.247.120.134[Info] pid[3073][05-21 16:38:14 0.59134600]	RedisCommands Args:["get","ApiLimit:weixin:wxfwhLogin:58.247.120.134"]
58.247.120.134[Info] pid[3073][05-21 16:38:14 0.59178600]	RedisCommands Result:false
58.247.120.134[Info] pid[3073][05-21 16:38:14 0.59192500]	RedisCommands Args:["setex","ApiLimit:weixin:wxfwhLogin:58.247.120.134",1,1]
58.247.120.134[Info] pid[3073][05-21 16:38:14 0.59219500]	RedisCommands Result:1
58.247.120.134[Info] pid[3073][05-21 16:38:14 0.79478100]	Mysql Execute Query:["select id, nickname, token, state, mobile, email, avatar, level, point, updateVersion, openId, unionId from members where openId = ?",["oXUAFtwt_ZbxKSadUcQxeVDT4M48"],true]
58.247.120.134[Info] pid[3073][05-21 16:38:14 0.79569300]	Mysql Execute Result:false
58.247.120.134[Info] pid[3073][05-21 16:38:14 0.79583900]	Mysql Execute Query:["insert members set state = ? ,token = ? ,nickname = ? ,password = ? ,avatar = ? ,mobile = ? ,email = ? ,level = ? ,point = ? ,pushClientId = ? ,deviceToken = ? ,openId = ? ,unionId = ?",["正常","","🤑🙄🤥🤔🤗😶😯🤑","","http:\/\/thirdwx.qlogo.cn\/mmopen\/vi_32\/Q0j4TwGTfTLALXb4ceugZ45BwkaLQWb7o6ub2Giah8nicOYKbdJ9AUsU28w4uP7L7eiaBonicVKu4NpLWLwhibF2fGg\/132","","",1,0,"","","oXUAFtwt_ZbxKSadUcQxeVDT4M48",""],false]
58.247.120.134[Info] pid[3073][05-21 16:38:14 0.79627100]	Mysql Execute Error:SQLSTATE[HY000]: General error: 1366 Incorrect string value: '\xF0\x9F\xA4\x91\xF0\x9F...' for column 'nickname' at row 1
58.247.120.134[Info] pid[3240][05-21 16:41:08 0.95561200]	RedisCommands Args:["get","ApiLimit:weixin:wxfwhLogin:58.247.120.134"]
58.247.120.134[Info] pid[3240][05-21 16:41:08 0.95589700]	RedisCommands Result:false
58.247.120.134[Info] pid[3240][05-21 16:41:08 0.95598000]	RedisCommands Args:["setex","ApiLimit:weixin:wxfwhLogin:58.247.120.134",1,1]
58.247.120.134[Info] pid[3240][05-21 16:41:08 0.95614400]	RedisCommands Result:1
